加入			かにゅう			その会に加入させてもらえなかった
再発			さいはつ			そういう事故は再発する恐れがあります
兎角			とかく				涙は兎角に止まなかった　（止む　個人の力では扱いかねるものに用いられるように思います。)(止まる　赤信号で止まりましたか)
>兼ねる			かねる				unable to do sth こういう事情ですから、残念ながら、せっかくのご招待をおうけいたしかねるのです
喋る			しゃべる			黙っていたことを後悔した人より、しゃべったことを後悔した人が多い。
>掌				たなごころ			おいおい当城を掌にし
取り混ぜる		とりまぜる			彼らはトマトを大小取り混ぜて売った
>従って			したがって			according to;先生の忠告に従って行動したほうがよい
>志				こころざし			何事をするにも志が大切
貫禄			かんろく			dignity 君は課長としての貫禄がない
欠席			けっせき			無断で欠席すべきではない
困難			こんなん			問題はいかにして我々がげんざいの困難を切り抜けるかである
事情			じじょう			彼女に会うべきかどうかは私自身が決める事情だ
>伺う			うかがう			call on;pay a visit;wait on;ask;hear;be told; 本日は伺うことができませんでした。
>刃				は					刃の鋭い、刃は鋭い
家計			かけい				彼女は家計のやり繰りに頭を抱えている
物資			ぶっし				公平に言って、彼は自分の限られた部下と物資で最善を尽くした
転校			てんこう			転校生は先生の鉛筆を削って機嫌を取った
手配			てはい				誰かお宅へ車で迎えに行くよう手配しておきましょうか
>呟く			つぶやく			嘀咕 叽歪 彼は学校に対する不満を呟いた　He muttered complaints against the school
>隠れる			かくれる			彼は戸の陰に隠れた
関税			かんぜい			
重大			じゅうだい
禁物			きんもつ
				デモンストレーション
お祖母さん		おばあさん
				タイヤ
>乙				おつ
章				しょう
損害			そんがい
旅客			りょかく
崇拝			すうはい
食い違う		くいちがう
軽蔑			けいべつ
>携わる			たずさわる
>幼い			おさない
心臓			しんぞう
芝居			しばい
向かい			むかい
少年			しょうねん
半端			はんぱ
独自			どくじ
火燵			こたつ
清算			せいさん
記者			きしゃ
強調			きょうちょう
影響			えいきょう
慣らす			ならす
>好む			このむ
攻撃			こうげき
>怠い			だるい
嗜好			しこう
禁煙			きんえん
何				なに
祝賀			しゅくが
				ネガ
				あんなに
事実			じじつ
臭い			くさい
>富				とみ
厳密			げんみつ
外す			はずす
幕				とばり
放置			ほうち
周				しゅう
通り			とおり
				ぴったり
寄付			きふ
骨				ほね
扱う			あつかう
少々			しょうしょう
移民			いみん
関する			かんする
納得			なっとく
模範			もはん
餌				えさ
入院			にゅういん
回収			かいしゅう
整然			せいぜん
品				しな
奇数			きすう
遣り通す			やりとおす
			メモ
藍褸			ぼろ
態度			たいど
見当			けんとう
捕吏			ほり
不服			ふふく
要するに			ようするに
球			たま
仕切る			しきる
真剣			しんけん
			あくどい
老いる			おいる
基			もと
無			ぶ
工作			こうさく
植わる			うわる
潤う			うるおう
是非			ぜひ
交わる			まじわる
埋まる			うずまる
従う			したがう
処分			しょぶん
記入			きにゅう
彼此			あれこれ
句			く
交易			こうえき
雫			しずく
			グラス
有利			ゆうり
酪農			らくのう
進展			しんてん
引き受ける			ひきうける
真ん丸い			まんまるい
施す			ほどこす
判			はん
収集			しゅうしゅう
			エアメール
筋			すじ
極			ごく
居間			いま
			ビールス
感情			かんじょう
不況			ふきょう
宇宙			うちゅう
占める			しめる
下地			したじ
汽船			きせん
負担			ふたん
宗教			しゅうきょう
始まり			はじまり
式			しき
			やがて
大ざっぱ			おおざっぱ
立ち寄る			たちよる
当選			とうせん
務め			つとめ
			ラケット
			たびたび
難			なん
			わがまま
後悔			こうかい
無茶			むちゃ
手間			てま
			ヨーロッパ
中止			ちゅうし
田園			でんえん
収益			しゅうえき
所で			ところで
被害			ひがい
			ずれる
語句			ごく
			そのまま
			メッセージ
最高			さいこう
			ぺこぺこ
纏め			まとめ
			バット
役職			やくしょく
願う			ねがう
字			あざ
痛める			いためる
基本			きほん
僅か			わずか
穀物			こくもつ
進める			すすめる
語学			ごがく
巧み			たくみ
指導			しどう
傷			きず
評判			ひょうばん
大			だい
中傷			ちゅうしょう
使用人			しようにん
熱湯			ねっとう
			パスポート
			トランプ
長閑			のどか
筆			ふで
幕			まく
晴天			せいてん
拗れる			こじれる
類			たぐい
			クリスマス
			ごめんなさい
備え付ける			そなえつける
描く			かく
参考			さんこう
悩む			なやむ
天候			てんこう
名高い			なだかい
哀れ			あわれ
頼る			たよる
隠れる			かくれる
優勢			ゆうせい
飛行			ひこう
印刷			いんさつ
原則			げんそく
審判			しんぱん
脱出			だっしゅつ
受け取り			うけとり
			ゆっくり
傾向			けいこう
建設			けんせつ
済まない			すまない
富む			とむ
渡り鳥			わたりどり
辛抱			しんぼう
気に入る			きにいる
免許			めんきょ
人工			じんこう
輝く			かがやく
			どんなに
本名			ほんみょう
豆			まめ
失業			しつぎょう
其の儘			そのまま
不当			ふとう
身長			しんちょう
語る			かたる
その			その
典型			てんけい
講習			こうしゅう
下す			おろす
政権			せいけん
旗			はた
修行			しゅうぎょう
殴る			なぐる
持ち上げる			もちあげる
主婦			しゅふ
外方			そっぽ
農家			のうか
同僚			どうりょう
不平			ふへい
御			お
名付ける			なづける
第一			だいいち
			レクリエーション
頂く			いただく
為る			なる
			アラブ
文句			もんく
明確			めいかく
逃れる			のがれる
恋			こい
対話			たいわ
事情			じじょう
目付き			めつき
山岳			さんがく
決議			けつぎ
効果			こうか
ご苦労様			ごくろうさま
繋ぐ			つなぐ
その内			そのうち
日本			にっぽん
掲示			けいじ
変更			へんこう
生物			せいぶつ
			ポジション
同様			どうよう
特徴			とくちょう
支度			したく
取っ手			とって
効く			きく
怪獣			かいじゅう
松			まつ
衆			しゅう
要求			ようきゅう
無駄			むだ
言わば			いわば
			てっきり
信仰			しんこう
合致			がっち
銃			つつ
猛烈			もうれつ
鉄鋼			てっこう
産物			さんぶつ
月曜			げつよう
一敗			いっぱい
中			ちゅう
			ペア
失う			うしなう
委員			いいん
宿泊			しゅくはく
従兄弟			いとこ
試し			ためし
見解			けんかい
日光			にっこう
巨			こ
結び付き			むすびつき
燃料			ねんりょう
賛成			Uӣ[い
奪う			うばう
願い			ねがい
奴			やっこ
衣装			いしょう
責める			せめる
急速			きゅうそく
交渉			こうしょう
絶対			ぜったい
刺			とげ
統合			とうごう
精々			せいぜい
好み			このみ
援助			えんじょ
程度			ていど
無駄			むだ
出社			しゅっしゃ
採用			さいよう
呆気ない			あっけない
猿			さる
報告			ほうこく
独立			どくりつ
皇居			こうきょ
事態			じたい
			キャプテン
黙る			だまる
詰める			つめる
			バン
徐々に			じょじょに
裸			はだか
現れ			あらわれ
役			やく
			やはり
額			がく
関連			かんれん
			しいんと
九			きゅう
異見			いけん
郷里			きょうり
お手上げ			おてあげ
逃走			とうそう
所々			しょしょ
重なる			おもなる
陰			かげ
記事			きじ
撃つ			うつ
年齢			ねんれい
指図			さしず
台無し			だいなし
困難			こんなん
何時でも			いつでも
海峡			かいきょう
氏			うじ
一昨昨日			さきおととい
方			ほう
克服			こくふく
			さっぱり
契約			けいやく
提案			ていあん
意思			いし
僧			そう
日付			かづけ
特派			とくは
多分			たぶん
退職			たいしょく
慌ただしい			あわただしい
感じる			かんじる
御			ご
領域			りょういき
末			すえ
無邪気			むじゃき
			ドリル
袋			ふくろ
見せ物			みせもの
寒気			かんき
食事			しょくじ
問い			とい
画家			がか
快適			かいてき
			ですから
演技			えんぎ
			ありがとう
王様			おうさま
過去			かこ
最も			もっとも
開拓			かいたく
本能			ほんのう
癖			くせ
幸せ			しあわせ
円			まる
取り立てる			とりたてる
教習			きょうしゅう
今日			こんにち
睡眠			すいみん
定義			ていぎ
回送			かいそう
怠ける			なまける
住			じゅう
食品			しょくひん
翼			つばさ
増す			ます
塔			とう
決勝			けっしょう
首都			しゅと
日光			にっこう
正直			しょうじき
			あるいは
谷			たに
忽ち			たちまち
男の人			おとこのひと
札			さつ
制			せい
建築			けんちく
当たり前			あたりまえ
論じる			ろんじる
駆ける			かける
繋ぐ			つなぐ
手錠			てじょう
許す			ゆるす
戦災			せんさい
土曜			どよう
名誉			めいよ
勧める			すすめる
体育			たいいく
勤務			きんむ
剥がす			はがす
博物館			はくぶつかん
数える			かぞえる
脈			みゃく
頬			ほほ
器用			きよう
物質			ぶっしつ
受け入れる			うけいれる
乾			ほし
所定			しょてい
			いつか
			エンジン
			スキー
審議			しんぎ
状			じょう
祝う			いわう
満月			まんげつ
運輸			うんゆ
息			いき
素朴			そぼく
梯子			ていし
方々			かたがた
牛			うし
感度			かんど
運用			うんよう
経つ			たつ
唯一			ゆいいつ
墓			はか
勧め			すすめ
			ナプキン
			ざっと
不景気			ふけいき
			やがて
			ニュー
縁			ふち
包み			つつみ
主体			しゅたい
すると			すると
引用			いんよう
中継			ちゅうけい
直接			ちょくせつ
			とんだ
今晩は			こんばんは
手法			しゅほう
王様			おうさま
結合			けつごう
人生			じんせい
蔵			くら
支給			しきゅう
上			うわ
比較			ひかく
			わざと
目覚しい			めざましい
上空			じょうくう
寄贈			きそう
神聖			しんせい
地下			ちか
眼科			がんか
相続			そうぞく
制限			せいげん
視察			しさつ
真相			しんそう
纏まり			まとまり
咳			せき
税			ぜい
贈る			おくる
当てる			あてる
愛			あい
			ばてる
気流			きりゅう
憧れ			あこがれ
発達			はったつ
貴女			あなた
棄権			きけん
現われる			あらわれる
刊行			かんこう
止す			よす
大戦			たいせん
建設			けんせつ
ずぶ濡れ			ずぶぬれ
報道			ほうどう
宛			あて
頬っぺた			ほっぺた
街			がい
結束			けっそく
全て			すべて
慣例			かんれい
年月			ねんげつ
物置き			ものおき
			ハイキング
伜			せがれ
軽快			けいかい
一挙に			いっきょに
年生			ねんせい
一般			いっぱん
合唱			がっしょう
未婚			みこん
そう			そう
誕生			たんじょう
出版			しゅっぱん
			スラックス
貧弱			ひんじゃく
貫く			つらぬく
仕舞う			しまう
			あられ
風景			ふうけい
畳			じょう
緩やか			ゆるやか
凶作			きょうさく
国産			こくさん
面する			めんする
親善			しんぜん
出生			しゅっしょう
玉			たま
深刻			しんこく
氏			し
胃			い
違反			いはん
品			ひん
錯覚			さっかく
履く			はく
技能			ぎのう
急激			きゅうげき
印象			いんしょう
星座			せいざ
満足			まんぞく
期待			きたい
全体			ぜんたい
強気			ごうぎ
怠ける			なまける
補償			ほしょう
良好			りょうこう
少数			しょうすう
申し分			もうしぶん
何方			どちら
弁当			べんとう
進度			しんど
私物			しぶつ
永遠			えいえん
施行			しぎょう
			バー
扱い			あつかい　
近々			きんきん
指差す			ゆびさす
物価			ぶっか
勤勉			きんべん
堂々			どうどう
分析			ぶんせき
様			よう
映える			はえる
価格			かかく
救い			すくい
観光			かんこう
何しろ			なにしろ
以前			いぜん
			あちこち
物好き			ものずき
的			まと
必ずしも			かならずしも
鋭い			するどい
換える			かえる
単に			たんに
保温			ほおん
訳			やく
蜂蜜			はちみつ
円			まる
秒			びょう
十			じゅう
盛り			さかり
用件			ようけん
お巡りさん			おまわりさん
好意			こうい
異常			いじょう
欠点			けってん
回			かい
末			すえ
流し			ながし
茶の湯			ちゃのゆ
急激			きゅうげき
真面目			まじめ
比例			ひれい
要請			ようせい
			ぶかぶか
教訓			きょうくん
			よい
作			さく
診察			しんさつ
話題			わだい
防ぐ			ふせぐ
態勢			たいせい
焚火			たきび
憲法			けんぽう
配達			はいたつ
都市			とし
疑う			うたがう
或			ある
図			ず
判			ばん
度			ど
保母			ほぼ
過多			かた
主要			しゅよう
見っともない			みっともない
傑			けつ
禁煙			きんえん
良心			りょうしん
妙			みょう
下			しも
国土			こくど
敬具			けいぐ
延べ			のべ
類似			るいじ
			サイン
簡潔			かんけつ
弾			たま
助手			じょしゅ
首相			しゅしょう
貴族			きぞく
主人公			しゅじんこう
結成			けっせい
稲			いね
じゃん拳			じゃんけん
少々			しょうしょう
用紙			ようし
借金			しゃっきん
伊井			いい
			おしゃべり
涙			なみだ
単に			たんに
便			びん
寄り掛かる			よりかかる
			コンテスト
抜ける			ぬける
変革			へんかく
繕う			つくろう
高尚			こうしょう
痛み			いたみ
			と
商売			しょうばい
知識			ちしき
			まさに
			ポイント
考古学			こうこがく
迷惑			めいわく
衛星			えいせい
			なかなか
紡績			ぼうせき
楽観			らっかん
確り			しっかり
対する			たいする
公募			こうぼ
			ボーイ
抽選			ちゅうせん
殺す			ころす
基金			ききん
批判			ひはん
稼ぐ			かせぐ
			だらけ
近郊			きんこう
究極			きゅうきょく
			メロディー
差し支える			さしつかえる
教授			きょうじゅ
木曜			もくよう
休憩			きゅうけい
疲れ			つかれ
			アイデア
移動			いどう
奇妙			きみょう
治療			ちりょう
			ミリ
容易い			たやすい
貨幣			かへい
渦			うず
不			ふ
天			あまつ
思わず			おもわず
六			む
			ダイヤ
			ビール
切り			きり
公開			こうかい
支える			ささえる
舞う			まう
差額			さがく
嘆く			なげく
一瞬			いっしゅん
待ち遠しい			まちどおしい
現実			げんじつ
溺れる			おぼれる
如何に			いかに
消防			しょうぼう
電線			でんせん
			どうしても
爆弾			ばくだん
しまう			（終わる）
			コピー
出会う			であう
一まず			ひとまず
所在			しょざい
破損			はそん
煙たい			けむたい
前進			ぜんしん
対面			たいめん
絵画			かいが
追い込む			おいこむ
遭難			そうなん
止す			よす
誤差			ごさ
絡む			からむ
依存			いそん
合議			ごうぎ
値引き			ねびき
弾む			はずむ
魂			こん
自然			しぜん
			のんびり
明かす			あかす
辞める			やめる
泊			はく
生産			せいさん
滅亡			めつぼう
帰宅			きたく
取り扱い			とりあつかい
表情			ひょうじょう
気楽			きらく
木綿			きわた
錯誤			さくご
土手			どて
決意			けつい
			はさみ
全国			ぜんこく
倒す			たおす
調理			ちょうり
申し入れる			もうしいれる
郵便			ゆうびん
秘書			ひしょ
情緒			じょうしょ
額			ひたい
下取り			したどり
明後日			みょうごにち
勧誘			かんゆう
悪戯			いたずら
発車			はっしゃ
			ストロー
			ますます
演奏			えんそう
留学			りゅうがく
調査			ちょうさ
援助			えんじょ
青春			せいしゅん
見込み			みこみ
換算			かんさん
縦			たて
宣言			せんげん
愛情			あいじょう
保管			ほかん
伸ばす			のばす
両替			りょうがえ
冒険			ぼうけん
御免なさい			ごめんなさい
日本			にほん
意志			いし
弾			たま
処理			しょり
巣			す
事実			じじつ
世辞			せじ
観覧			かんらん
			いけない
何時も			いつも
根本			こんぽん
少なくとも			すくなくとも
証明			しょうめい
友情			ゆうじょう
制限			せいげん
受け取る			うけとる
案内			あんない
完成			かんせい
結晶			けっしょう
異常			いじょう
			さて
映写			えいしゃ
叩く			たたく
愛想			あいそ
便			びん
記入			きにゅう
様相			ようそう
問屋			といや
			カムバック
教職			きょうしょく
進呈			しんてい
張り紙			はりがみ
荒廃			こうはい
戸			こ
よろしく			（感）
光沢			こうたく
束			たば
互い			たがい
			レース
兎			うさぎ
馬鹿			ばか
任せる			まかせる
満足			まんぞく
加わる			くわわる
契機			けいき
瞬き			またたき
人気			にんき
入手			にゅうしゅ
中毒			ちゅうどく
売り出す			うりだす
輪			わ
為る			なる
可			か
運動			うんどう
抱く			いだく
違い			ちがい
粗末			そまつ
平均			へいきん
理解			りかい
旅			たび
余程			よっぽど
崖			がけ
努めて			つとめて
機嫌			きげん
等			とう
暫く			しばらく
益々			ますます
貰う			もらう
売り出し			うりだし
瞬間			しゅんかん
破産			はさん
目覚める			めざめる
主食			しゅしょく
誤解			ごかい
倒産			とうさん
秘密			ひみつ
感じ			かんじ
大空			おおぞら
内			うち
川			かわ
幅			はば
艶			えん
損失			そんしつ
書き取る			かきとる
年間			ねんかん
間			ま
全て			すべて
自然			しぜん
			トップ
現在			げんざい
棒			ぼう
求める			もとめる
思い付き			おもいつき
			ベース
連ねる			つらねる
			アウト
明々後日			しあさって
些事			さじ
秘密			ひみつ
組織			そしき
業績			ぎょうせき
			チーズ
検査			けんさ
穏やか			おだやか
寄与			きよ
縁談			えんだん
			ガイド
			チェンジ
代理			だいり
協定			きょうてい
屹度			きっと
曖昧			あいまい
滅茶苦茶			めちゃくちゃ
利根			りこん
貸し			かし
行動			こうどう
反感			はんかん
住民			じゅうみん
手掛かり			てがかり
預ける			あずける
この間			このあいだ
外す			はずす
			はさみ
優先			ゆうせん
領土			りょうど
超			ちょう
銃			じゅう
宜しい			よろしい
とん			（1000
衣料			いりょう
混乱			こんらん
情報			じょうほう
			ソロ
細菌			さいきん
出会い			であい
効果			こうか
歩道			ほどう
温度			おんど
至る			いたる
譲る			ゆずる
莫大			ばくだい
固体			こたい
恐怖			きょうふ
不			ふ
しまった			（感）
			おまえ
異動			いどう
			メモ
正当			せいとう
上達			じょうたつ
			トンネル
合わせる			あわせる
園			えん
厄介			やっかい
根気			こんき
導入			どうにゅう
土地			とち
自信			じしん
宝石			ほうせき
			ドライバー
寄付			きふ
ジェット機			ジェットき
所得			しょとく
二十			はたち
			ドライブ
決断			けつだん
証明			しょうめい
何			なん
夜更け			よふけ
点検			てんけん
どれ			どれ
昼飯			ちゅうはん
過ごす			すごす
昨			さく
華やか			はなやか
望み			のぞみ
			これら
特有			とくゆう
			タレント
夫人			ふじん
年月			ねんげつ
概略			がいりゃく
敵			てき
就く			つく
丸っきり			まるっきり
			ピクニック
疑惑			ぎわく
或いは			あるいは
相対			あいたい
海路			うみじ
抱える			かかえる
行政			ぎょうせい
購買			こうばい
火傷			かしょう
無事			ぶじ
			で
恰度			ちょうど
お菜			おかず
			スイッチ
父親			ちちおや
積極的			せっきょくてき
句			く
違反			いはん
有る			ある
地獄			じごく
暗記			あんき
終える			おえる
			メンバー
幼い			おさない
親戚			しんせき
獣			けだもの
運営			うんえい
回覧			かいらん
偶			たま
土産			みやげ
悪魔			あくま
			コントラスト
記念			きねん
他			た
製造			せいぞう
介護			かいご
美術			びじゅつ
動詞			どうし
誇り			ほこり
海運			かいうん
化学			かがく
会見			かいけん
他方			たほう
雰囲気			ふんいき
分			ぶん
腰			こし
注ぐ			つぐ
俳優			はいゆう
形勢			けいせい
調和			ちょうわ
計			けい
仕様			しよう
連れ			つれ
			ややこしい
状況			じょうきょう
勇敢			ゆうかん
誇る			ほこる
涸れる			かれる
悪口			わるくち
現在			げんざい
乗っ取る			のっとる
お使い			おつかい
蹴飛ばす			けとばす
措置			そち
故			こ
当て字			あてじ
食糧			しょくりょう
孫			まご
団扇			うちわ
			まごつく
非難			ひなん
家事			かじ
石油			せきゆ
			どんなに
			ぐらい
正			せい
放送			ほうそう
暦			こよみ
始発			しはつ
鍋			なべ
推薦			すいせん
縁			ふち
愚か			おろか
不安			ふあん
来る			きたる
			マスター
報酬			ほうしゅう
			サボる
			いつまでも
配給			はいきゅう
繁盛			はんじょう
原爆			げんばく
落とす			おとす
切開			せっかい
謙る			へりくだる
自殺			じさつ
観察			かんさつ
			ベストセラー
入浴			にゅうよく
取り調べる			とりしらべる
			あいにく
慎む			つつしむ
成長			せいちょう
器			うつわ
伝来			でんらい
謎			なぞ
			メンバー
保護			ほご
結局			けっきょく
洪水			こうずい
濯ぐ			すすぐ
切ない			せつない
上司			じょうし
愈々			いよいよ
礼儀			れいぎ
今にも			いまにも
仕掛ける			しかける
結核			けっかく
版			はん
			クレーン
感染			かんせん
会談			かいだん
再現			さいげん
散歩			さんぽ
準急			じゅんきゅう
正午			しょうご
仕える			つかえる
屋根			やね
強力			きょうりょく
大げさ			おおげさ
人情			にんじょう
話題			わだい
弁護			べんご
			ボート
追跡			ついせき
築く			きずく
徹夜			てつや
出血			しゅっけつ
脚色			きゃくしょく
化繊			かせん
伝統			でんとう
懐く			なつく
ふと			（副）
液			えき
脇			わき
物理			ぶつり
履歴			りれき
暗算			あんざん
張る			はる
総			そう
新築			しんちく
衣服			いふく
頑固			がんこ
顎			あご
逆らう			さからう
奥			おく
巨大			きょだい
			ユーモア
ね			（感）
一時			いちじ
根			ね
火曜			かよう
			ゆっくり
組合			くみあい
黒板			こくばん
何卒			なにとぞ
祭			まつり
如何しても			どうしても
継ぐ			つぐ
所属			しょぞく
最も			もっとも
論じる			ろんじる
炎			ほのお
受け取る			うけとる
			ずるずる
機能			きのう
福			ふく
格			かく
見事			みごと
付き			つき
今回			こんかい
束縛			そくばく
退く			しりぞく
代わる代わる			かわるがわる
退化			たいか
相談			そうだん
転居			てんきょ
罪			つみ
階級			かいきゅう
物音			ものおと
吸収			きゅうしゅう
草臥れる			くたびれる
例			れい
休戦			きゅうせん
合格			ごうかく
			デザート
密か			ひそか
二十			はたち
滞る			とどこおる
番目			ばんめ
学期			がっき
友人			ゆうじん
医療			いりょう
絶望			ぜつぼう
佐			さ
割り込む			わりこむ
尻尾			しっぽ
大便			だいべん
母校			ぼこう
苦手			にがて
膨れる			ふくれる
濠			ごう
漏れる			もれる
依頼			いらい
恵み			めぐみ
雅致			がち
出来物			できもの
奮闘			ふんとう
担架			たんか
精神			せいしん
夜中			よなか
適用			てきよう
受身			うけみ
片思い			かたおもい
突破			とっぱ
下位			かい
結果			けっか
未熟			みじゅく
気味			きみ
論文			ろんぶん
場			ば
			コントロール
			ぼつぼつ
稲光			いなびかり
文句			もんく
種			たね
順番			じゅんばん
何なり			なんなり
経つ			たつ
差			さ
苦痛			くつう
当てはまる			あてはまる
添う			そう
教科書			きょうかしょ
振興			しんこう
拡大			かくだい
			もしも
過ち			あやまち
本場			ほんば
食事			しょくじ
景気			けいき
染まる			そまる
翼			つばさ
授ける			さずける
暗殺			あんさつ
			ブーツ
			こだわる
出来るだけ			できるだけ
追い付く			おいつく
手当て			てあて
柔軟			じゅうなん
逸らす			そらす
勤め			つとめ
			トラック
読者			どくしゃ
教員			きょういん
			どんな
睡眠			すいみん
気に入る			きにいる
			おじいさん
貴重			きちょう
			そのまま
方策			ほうさく
明らか			あきらか
拡大			かくだい
信任			しんにん
演習			えんしゅう
域外			いきがい
指す			さす
最中			さいちゅう
転換			てんかん
競技			きょうぎ
皮			かわ
向き			むき
姿			すがた
著			ちゃく
切っ掛け			きっかけ
どう			（接。副）
取り締まる			とりしまる
石油			せきゆ
			すごい
灯			ともしび
			アワー
			うんざり
雌			めす
東			あずま
金曜			きんよう
			サイクル
幾ら			いくら
推理			すいり
助ける			たすける
支払う			しはらう
化する			かする
注文			ちゅうもん
不在			ふざい
最善			さいぜん
			トランジスター
音色			おんいろ
潮			うしお
天然			てんねん
麻			あさ
風呂			ふろ
舌			した
排水			はいすい
組			くみ
